C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
Genes	Genes	Genes	Genes	Genes	Genes
AT1G01210	AT1G01100	AT1G01200	AT1G01030	AT1G01070	AT1G01260
AT1G01570	AT1G01290	AT1G01370	AT1G01050	AT1G01250	AT1G01350
AT1G01630	AT1G01920	AT1G01420	AT1G01170	AT1G01355	AT1G01470
AT1G01740	AT1G02050	AT1G01510	AT1G01240	AT1G01440	AT1G01560
AT1G01910	AT1G02060	AT1G01690	AT1G01360	AT1G01453	AT1G01650
AT1G02030	AT1G02140	AT1G01880	AT1G01620	AT1G01770	AT1G01710
AT1G02370	AT1G02290	AT1G02130	AT1G01640	AT1G01930	AT1G02000
AT1G02420	AT1G02470	AT1G02145	AT1G01780	AT1G02190	AT1G02170
AT1G02430	AT1G02780	AT1G02530	AT1G01830	AT1G02250	AT1G02270
AT1G02500	AT1G02800	AT1G02690	AT1G02010	AT1G02570	AT1G02390
AT1G02580	AT1G03310	AT1G02730	AT1G02100	AT1G02620	AT1G02400
AT1G02850	AT1G03330	AT1G02970	AT1G02305	AT1G02950	AT1G02880
AT1G02870	AT1G03630	AT1G03780	AT1G02340	AT1G03200	AT1G03070
AT1G02930	AT1G03820	AT1G04020	AT1G02640	AT1G03610	AT1G03160
AT1G03040	AT1G04190	AT1G04030	AT1G02840	AT1G03880	AT1G03370
AT1G03100	AT1G04590	AT1G04410	AT1G02860	AT1G04180	AT1G03590
AT1G03110	AT1G04680	AT1G04650	AT1G02910	AT1G04470	AT1G03730
AT1G03150	AT1G04710	AT1G04820	AT1G02960	AT1G04610	AT1G03740
AT1G03340	AT1G04730	AT1G05320	AT1G03090	AT1G04830	AT1G03770
AT1G03360	AT1G04840	AT1G05440	AT1G03445	AT1G04880	AT1G04100
AT1G03530	AT1G04850	AT1G05590	AT1G03550	AT1G04970	AT1G04490
AT1G03540	AT1G04900	AT1G05720	AT1G03870	AT1G04985	AT1G04960
AT1G03687	AT1G05000	AT1G05870	AT1G03900	AT1G04990	AT1G05020
AT1G03760	AT1G05080	AT1G05950	AT1G03920	AT1G05090	AT1G05100
AT1G03800	AT1G05205	AT1G06680	AT1G04240	AT1G05120	AT1G05170
AT1G03830	AT1G05430	AT1G07270	AT1G04250	AT1G05510	AT1G05200
AT1G03860	AT1G05460	AT1G07320	AT1G04330	AT1G05610	AT1G05340
AT1G03910	AT1G05700	AT1G07740	AT1G04440	AT1G05783	AT1G05400
AT1G03980	AT1G06160	AT1G07770	AT1G04560	AT1G05785	AT1G05575
AT1G04170	AT1G06240	AT1G07820	AT1G04778	AT1G05800	AT1G05675
AT1G04270	AT1G06560	AT1G08430	AT1G05230	AT1G05990	AT1G05960
AT1G04340	AT1G06820	AT1G08480	AT1G05570	AT1G06050	AT1G06080
AT1G04360	AT1G06960	AT1G08540	AT1G05660	AT1G06135	AT1G06620
AT1G04480	AT1G07210	AT1G08660	AT1G05790	AT1G06400	AT1G06740
AT1G04510	AT1G07340	AT1G08670	AT1G05830	AT1G06430	AT1G06750
AT1G04635	AT1G07560	AT1G09200	AT1G05840	AT1G06460	AT1G06800
AT1G04640	AT1G07920	AT1G09240	AT1G05850	AT1G06490	AT1G07000
AT1G04690	AT1G07940	AT1G09390	AT1G05890	AT1G06570	AT1G07130
AT1G04770	AT1G08070	AT1G09450	AT1G06060	AT1G06650	AT1G07135
AT1G04860	AT1G08120	AT1G09840	AT1G06110	AT1G07120	AT1G07150
AT1G04870	AT1G08360	AT1G09850	AT1G06170	AT1G07470	AT1G07330
AT1G04945	AT1G08750	AT1G10020	AT1G06640	AT1G07480	AT1G07400
AT1G04980	AT1G08830	AT1G10200	AT1G06700	AT1G08160	AT1G07410
AT1G05065	AT1G08840	AT1G10780	AT1G06810	AT1G08340	AT1G07430
AT1G05180	AT1G08880	AT1G10840	AT1G07040	AT1G08630	AT1G07500
AT1G05220	AT1G09150	AT1G10950	AT1G07080	AT1G08645	AT1G07510
AT1G05650	AT1G09560	AT1G10970	AT1G07110	AT1G09155	AT1G08050
AT1G05670	AT1G09690	AT1G11130	AT1G07170	AT1G09230	AT1G08800
AT1G05730	AT1G09760	AT1G11420	AT1G07300	AT1G09440	AT1G08920
AT1G05910	AT1G09780	AT1G11680	AT1G07645	AT1G09750	AT1G08930
AT1G06143	AT1G09800	AT1G11700	AT1G07650	AT1G10060	AT1G09070
AT1G06150	AT1G10980	AT1G11860	AT1G07730	AT1G10070	AT1G09140
AT1G06180	AT1G11440	AT1G13330	AT1G07850	AT1G10095	AT1G09575
AT1G06190	AT1G11475	AT1G13610	AT1G08040	AT1G10225	AT1G09795
AT1G06220	AT1G11750	AT1G14450	AT1G08165	AT1G10600	AT1G09880
AT1G06380	AT1G12050	AT1G15080	AT1G08210	AT1G11000	AT1G09932
AT1G06470	AT1G12244	AT1G15500	AT1G08310	AT1G11110	AT1G09940
AT1G06530	AT1G12270	AT1G15660	AT1G08460	AT1G11112	AT1G09950
AT1G06550	AT1G12800	AT1G15760	AT1G08500	AT1G11180	AT1G09970
AT1G06670	AT1G13040	AT1G15910	AT1G08510	AT1G11410	AT1G09995
AT1G06710	AT1G13060	AT1G15970	AT1G08570	AT1G11500	AT1G10040
AT1G06720	AT1G13270	AT1G16080	AT1G08650	AT1G11915	AT1G10050
AT1G06730	AT1G13320	AT1G16445	AT1G08680	AT1G12280	AT1G10340
AT1G06790	AT1G13440	AT1G16560	AT1G08860	AT1G12290	AT1G10530
AT1G06950	AT1G13510	AT1G16780	AT1G08980	AT1G12350	AT1G10650
AT1G07070	AT1G13860	AT1G17470	AT1G09010	AT1G12540	AT1G11050
AT1G07140	AT1G13950	AT1G17540	AT1G09195	AT1G12600	AT1G11210
AT1G07390	AT1G14350	AT1G18060	AT1G09280	AT1G12680	AT1G11310
AT1G07420	AT1G14620	AT1G18197	AT1G09310	AT1G12805	AT1G11390
AT1G07590	AT1G15000	AT1G18335	AT1G09540	AT1G13430	AT1G11570
AT1G07615	AT1G15085	AT1G18370	AT1G09730	AT1G13710	AT1G11670
AT1G07705	AT1G15120	AT1G18450	AT1G09740	AT1G14390	AT1G11960
AT1G07780	AT1G15200	AT1G18490	AT1G09910	AT1G14730	AT1G12610
AT1G07830	AT1G15215	AT1G19920	AT1G10150	AT1G15130	AT1G12950
AT1G07840	AT1G15270	AT1G20050	AT1G10540	AT1G15160	AT1G13195
AT1G07885	AT1G15290	AT1G20090	AT1G10660	AT1G15460	AT1G13210
AT1G07910	AT1G15320	AT1G20180	AT1G10740	AT1G15540	AT1G13390
AT1G07930	AT1G15810	AT1G20570	AT1G10750	AT1G15580	AT1G13880
AT1G07960	AT1G15820	AT1G20610	AT1G10850	AT1G15610	AT1G13960
AT1G08125	AT1G15930	AT1G20696	AT1G10890	AT1G16022	AT1G13990
AT1G08130	AT1G15940	AT1G20720	AT1G11090	AT1G16320	AT1G14260
AT1G08220	AT1G16000	AT1G21065	AT1G11303	AT1G16705	AT1G14330
AT1G08400	AT1G16020	AT1G21740	AT1G11450	AT1G16730	AT1G14530
AT1G08410	AT1G16060	AT1G22060	AT1G11480	AT1G18170	AT1G14560
AT1G08580	AT1G16690	AT1G22170	AT1G11530	AT1G18180	AT1G14590
AT1G08610	AT1G16700	AT1G23190	AT1G11545	AT1G18310	AT1G14640
AT1G08640	AT1G16740	AT1G24050	AT1G11730	AT1G19300	AT1G15010
AT1G08960	AT1G17350	AT1G24120	AT1G11740	AT1G19320	AT1G15030
AT1G09130	AT1G17560	AT1G24240	AT1G11785	AT1G19396	AT1G15110
AT1G09190	AT1G17880	AT1G25440	AT1G11810	AT1G19397	AT1G15330
AT1G09210	AT1G18080	AT1G25490	AT1G12060	AT1G19400	AT1G15430
AT1G09290	AT1G18530	AT1G26330	AT1G12070	AT1G19660	AT1G15520
AT1G09300	AT1G19240	AT1G26540	AT1G12080	AT1G20440	AT1G15530
AT1G09420	AT1G19290	AT1G26940	AT1G12090	AT1G20460	AT1G15800
AT1G09590	AT1G20065	AT1G27310	AT1G12330	AT1G20810	AT1G16030
AT1G09680	AT1G20430	AT1G27340	AT1G12360	AT1G21400	AT1G16370
AT1G09700	AT1G20480	AT1G28100	AT1G12580	AT1G21460	AT1G16670
AT1G09810	AT1G20580	AT1G28650	AT1G12780	AT1G22275	AT1G16850
AT1G09830	AT1G20950	AT1G29070	AT1G12790	AT1G22590	AT1G17110
AT1G09900	AT1G21560	AT1G29179	AT1G13080	AT1G22930	AT1G17340
AT1G10240	AT1G21690	AT1G29700	AT1G13230	AT1G23110	AT1G17380
AT1G10270	AT1G21720	AT1G29790	AT1G13245	AT1G23130	AT1G17420
AT1G10310	AT1G22290	AT1G30440	AT1G13250	AT1G23530	AT1G17750
AT1G10410	AT1G22300	AT1G31150	AT1G13450	AT1G23580	AT1G17990
AT1G10470	AT1G22520	AT1G31160	AT1G13570	AT1G23965	AT1G18210
AT1G10490	AT1G23100	AT1G31850	AT1G13640	AT1G24070	AT1G18300
AT1G10510	AT1G23820	AT1G32210	AT1G13930	AT1G24470	AT1G18740
AT1G10520	AT1G24180	AT1G32740	AT1G14190	AT1G24520	AT1G18750
AT1G11170	AT1G24265	AT1G33102	AT1G14400	AT1G26450	AT1G18890
AT1G11240	AT1G24360	AT1G33470	AT1G14688	AT1G26780	AT1G18975
AT1G11430	AT1G24510	AT1G33680	AT1G15020	AT1G26800	AT1G19010
AT1G11780	AT1G24625	AT1G33810	AT1G15040	AT1G26815	AT1G19020
AT1G11800	AT1G24800	AT1G34040	AT1G15060	AT1G27045	AT1G19180
AT1G11820	AT1G26170	AT1G35620	AT1G15240	AT1G27170	AT1G19210
AT1G12000	AT1G26630	AT1G38131	AT1G15350	AT1G27290	AT1G19250
AT1G12200	AT1G26740	AT1G43580	AT1G15740	AT1G27380	AT1G19310
AT1G12470	AT1G26762	AT1G43605	AT1G15880	AT1G27565	AT1G19380
AT1G12650	AT1G26840	AT1G44000	AT1G15960	AT1G27660	AT1G19550
AT1G12730	AT1G27435	AT1G44110	AT1G15980	AT1G27920	AT1G19670
AT1G12770	AT1G27450	AT1G44170	AT1G16240	AT1G28230	AT1G20310
AT1G12830	AT1G27630	AT1G44740	AT1G16250	AT1G28430	AT1G20510
AT1G12980	AT1G28060	AT1G46480	AT1G16460	AT1G28450	AT1G20680
AT1G13030	AT1G28340	AT1G47670	AT1G16500	AT1G28540	AT1G20740
AT1G13120	AT1G28400	AT1G48280	AT1G16720	AT1G28765	AT1G20816
AT1G13160	AT1G28570	AT1G48480	AT1G16880	AT1G28960	AT1G20823
AT1G13480	AT1G28590	AT1G49010	AT1G17120	AT1G29260	AT1G20925
AT1G13520	AT1G29000	AT1G49340	AT1G17200	AT1G29380	AT1G21010
AT1G13590	AT1G29041	AT1G49580	AT1G17700	AT1G29420	AT1G21070
AT1G13630	AT1G29280	AT1G50010	AT1G17810	AT1G29465	AT1G21080
AT1G13690	AT1G29590	AT1G50500	AT1G17910	AT1G29490	AT1G21140
AT1G13730	AT1G29810	AT1G51070	AT1G17960	AT1G29520	AT1G21210
AT1G13750	AT1G29850	AT1G51080	AT1G18160	AT1G29680	AT1G21450
AT1G13800	AT1G29860	AT1G51405	AT1G18270	AT1G29760	AT1G21528
AT1G13810	AT1G29910	AT1G51570	AT1G18330	AT1G29800	AT1G21790
AT1G14010	AT1G30010	AT1G51630	AT1G18470	AT1G30260	AT1G21830
AT1G14060	AT1G30120	AT1G51730	AT1G18660	AT1G31040	AT1G21980
AT1G14320	AT1G30510	AT1G51940	AT1G18990	AT1G31200	AT1G22280
AT1G14410	AT1G30580	AT1G52230	AT1G19000	AT1G31580	AT1G22330
AT1G14453	AT1G30630	AT1G52700	AT1G19110	AT1G31720	AT1G22470
AT1G14600	AT1G31230	AT1G53000	AT1G19330	AT1G31814	AT1G22510
AT1G14840	AT1G31340	AT1G53140	AT1G19350	AT1G32400	AT1G22570
AT1G14850	AT1G31490	AT1G53710	AT1G19480	AT1G32560	AT1G22610
AT1G14900	AT1G31650	AT1G53887	AT1G19530	AT1G33250	AT1G22810
AT1G14980	AT1G31690	AT1G54080	AT1G19600	AT1G33280	AT1G22830
AT1G14990	AT1G31760	AT1G54200	AT1G19620	AT1G34300	AT1G22985
AT1G15250	AT1G31772	AT1G54385	AT1G19680	AT1G34410	AT1G23440
AT1G15370	AT1G31780	AT1G54440	AT1G19835	AT1G34540	AT1G23710
AT1G15385	AT1G31840	AT1G54450	AT1G19910	AT1G34575	AT1G23830
AT1G15440	AT1G32070	AT1G54510	AT1G19940	AT1G35460	AT1G23850
AT1G15480	AT1G32415	AT1G55130	AT1G20010	AT1G35610	AT1G24140
AT1G15510	AT1G32500	AT1G55325	AT1G20080	AT1G36085	AT1G24145
AT1G15772	AT1G32763	AT1G55540	AT1G20160	AT1G36922	AT1G24330
AT1G15870	AT1G33040	AT1G55805	AT1G20190	AT1G45545	AT1G25275
AT1G16150	AT1G33100	AT1G56120	AT1G20360	AT1G45976	AT1G25370
AT1G16280	AT1G33140	AT1G57590	AT1G20400	AT1G47280	AT1G25390
AT1G16350	AT1G33265	AT1G58060	AT1G20620	AT1G47410	AT1G25400
AT1G16610	AT1G33410	AT1G58220	AT1G20650	AT1G47540	AT1G25500
AT1G16650	AT1G33640	AT1G58350	AT1G20710	AT1G47600	AT1G25560
AT1G16770	AT1G34000	AT1G58460	AT1G20730	AT1G47780	AT1G25682
AT1G16800	AT1G34010	AT1G59540	AT1G20735	AT1G48130	AT1G26090
AT1G16830	AT1G34060	AT1G59980	AT1G20760	AT1G48430	AT1G26390
AT1G16870	AT1G34670	AT1G60060	AT1G20790	AT1G48590	AT1G26730
AT1G16900	AT1G35530	AT1G60390	AT1G20800	AT1G48770	AT1G27110
AT1G16970	AT1G35680	AT1G60460	AT1G20860	AT1G49220	AT1G27130
AT1G17020	AT1G36180	AT1G60690	AT1G20875	AT1G49330	AT1G27210
AT1G17130	AT1G36320	AT1G60920	AT1G20920	AT1G50440	AT1G27500
AT1G17235	AT1G42480	AT1G60960	AT1G20923	AT1G51190	AT1G27700
AT1G17300	AT1G43170	AT1G61050	AT1G20940	AT1G51220	AT1G27720
AT1G17690	AT1G43980	AT1G61270	AT1G21060	AT1G51260	AT1G27730
AT1G17860	AT1G44020	AT1G61565	AT1G21230	AT1G51360	AT1G27760
AT1G17920	AT1G44318	AT1G61590	AT1G21240	AT1G51470	AT1G27770
AT1G18070	AT1G44780	AT1G61795	AT1G21245	AT1G52040	AT1G27910
AT1G18320	AT1G44900	AT1G62520	AT1G21323	AT1G52060	AT1G28190
AT1G18540	AT1G44910	AT1G62640	AT1G21360	AT1G52070	AT1G28200
AT1G18670	AT1G45000	AT1G62690	AT1G21738	AT1G52140	AT1G28240
AT1G18800	AT1G45332	AT1G62770	AT1G21890	AT1G52240	AT1G28370
AT1G18850	AT1G46264	AT1G62870	AT1G21925	AT1G52315	AT1G28380
AT1G19080	AT1G47260	AT1G63420	AT1G21928	AT1G52827	AT1G28480
AT1G19190	AT1G47420	AT1G63470	AT1G21950	AT1G52857	AT1G29160
AT1G19360	AT1G47570	AT1G63610	AT1G21960	AT1G52870	AT1G29195
AT1G19520	AT1G47640	AT1G63670	AT1G21970	AT1G52910	AT1G29220
AT1G19610	AT1G47980	AT1G63700	AT1G21990	AT1G53163	AT1G29230
AT1G19750	AT1G48830	AT1G63990	AT1G22010	AT1G53170	AT1G29290
AT1G19860	AT1G49150	AT1G64390	AT1G22015	AT1G53400	AT1G29330
AT1G19990	AT1G49510	AT1G64405	AT1G22090	AT1G53560	AT1G29340
AT1G20200	AT1G49600	AT1G64650	AT1G22120	AT1G53640	AT1G29690
AT1G20220	AT1G49670	AT1G65010	AT1G22130	AT1G53660	AT1G30135
AT1G20230	AT1G49860	AT1G65370	AT1G22160	AT1G54100	AT1G30190
AT1G20370	AT1G50120	AT1G65470	AT1G22230	AT1G54160	AT1G30300
AT1G20380	AT1G50140	AT1G65590	AT1G22250	AT1G54210	AT1G30320
AT1G20410	AT1G50200	AT1G65710	AT1G22370	AT1G54530	AT1G30370
AT1G20910	AT1G50280	AT1G66140	AT1G22380	AT1G55152	AT1G30420
AT1G21190	AT1G50420	AT1G66410	AT1G22420	AT1G56555	AT1G30620
AT1G21280	AT1G50770	AT1G67035	AT1G22620	AT1G56600	AT1G30640
AT1G21750	AT1G51650	AT1G67040	AT1G22720	AT1G57560	AT1G31130
AT1G21900	AT1G52100	AT1G67140	AT1G22740	AT1G58215	AT1G31290
AT1G22270	AT1G52300	AT1G67730	AT1G22860	AT1G59171	AT1G32127
AT1G22410	AT1G52450	AT1G68220	AT1G23340	AT1G59520	AT1G32520
AT1G22440	AT1G52640	AT1G68520	AT1G23960	AT1G59650	AT1G32530
AT1G22660	AT1G52920	AT1G68560	AT1G24130	AT1G59810	AT1G32860
AT1G22750	AT1G53023	AT1G68570	AT1G24160	AT1G60190	AT1G32920
AT1G22780	AT1G53240	AT1G68680	AT1G24340	AT1G60530	AT1G32928
AT1G22840	AT1G53250	AT1G70210	AT1G24735	AT1G60986	AT1G32960
AT1G22950	AT1G53260	AT1G70220	AT1G24764	AT1G61110	AT1G32970
AT1G22970	AT1G53930	AT1G70250	AT1G24793	AT1G61690	AT1G33600
AT1G23180	AT1G53935	AT1G70320	AT1G25420	AT1G61810	AT1G33610
AT1G23201	AT1G53940	AT1G70340	AT1G25450	AT1G61900	AT1G34260
AT1G23230	AT1G53945	AT1G71730	AT1G26140	AT1G62045	AT1G34370
AT1G23280	AT1G54010	AT1G72300	AT1G26360	AT1G62280	AT1G35210
AT1G23290	AT1G54180	AT1G72310	AT1G26580	AT1G62310	AT1G35630
AT1G23330	AT1G54250	AT1G72430	AT1G26610	AT1G62480	AT1G35670
AT1G23410	AT1G54340	AT1G73460	AT1G26665	AT1G62980	AT1G43160
AT1G23560	AT1G54580	AT1G73910	AT1G26670	AT1G62981	AT1G43770
AT1G23770	AT1G54630	AT1G74210	AT1G26790	AT1G63030	AT1G44090
AT1G23780	AT1G54690	AT1G74458	AT1G26810	AT1G63310	AT1G44350
AT1G23950	AT1G55140	AT1G74580	AT1G27090	AT1G63710	AT1G45145
AT1G24090	AT1G55340	AT1G74690	AT1G27200	AT1G63870	AT1G47130
AT1G24100	AT1G55360	AT1G75060	AT1G27510	AT1G63930	AT1G48040
AT1G24210	AT1G55490	AT1G75150	AT1G27520	AT1G64890	AT1G48330
AT1G24267	AT1G55930	AT1G75500	AT1G27540	AT1G65510	AT1G49450
AT1G24310	AT1G56045	AT1G75640	AT1G27600	AT1G66230	AT1G49530
AT1G24420	AT1G56050	AT1G75840	AT1G27670	AT1G66290	AT1G49640
AT1G24430	AT1G56190	AT1G75920	AT1G27750	AT1G66860	AT1G49780
AT1G24480	AT1G56450	AT1G76420	AT1G28010	AT1G67623	AT1G50460
AT1G25180	AT1G56570	AT1G76540	AT1G28040	AT1G67990	AT1G50600
AT1G25211	AT1G56690	AT1G77580	AT1G28290	AT1G68090	AT1G50740
AT1G25260	AT1G57540	AT1G77690	AT1G28330	AT1G68200	AT1G51090
AT1G25350	AT1G57720	AT1G77710	AT1G28660	AT1G68480	AT1G51355
AT1G25360	AT1G59600	AT1G77860	AT1G28670	AT1G68725	AT1G51450
AT1G25460	AT1G60070	AT1G77920	AT1G29355	AT1G68800	AT1G51480
AT1G25520	AT1G60660	AT1G78060	AT1G29430	AT1G69260	AT1G51660
AT1G25530	AT1G60700	AT1G78630	AT1G29440	AT1G69270	AT1G51700
AT1G25570	AT1G61390	AT1G78900	AT1G29450	AT1G69570	AT1G51760
AT1G26190	AT1G61490	AT1G78915	AT1G29500	AT1G70505	AT1G51950
AT1G26210	AT1G61790	AT1G79010	AT1G29510	AT1G70550	AT1G52280
AT1G26340	AT1G62260	AT1G79060	AT1G29660	AT1G70720	AT1G52560
AT1G26370	AT1G62560	AT1G79750	AT1G29670	AT1G70830	AT1G52565
AT1G26420	AT1G62780	AT1G79870	AT1G29970	AT1G70980	AT1G52618
AT1G26460	AT1G63150	AT1G80050	AT1G30130	AT1G71130	AT1G52690
AT1G26470	AT1G63680	AT1G80260	AT1G30200	AT1G71150	AT1G52890
AT1G26500	AT1G63940	AT1G80700	AT1G30280	AT1G71520	AT1G53050
AT1G26520	AT1G64010	AT1G80745	AT1G30840	AT1G71695	AT1G53060
AT1G26530	AT1G64185	AT1G80790	AT1G30970	AT1G72000	AT1G53110
AT1G26660	AT1G64320	AT1G80870	AT1G31050	AT1G72570	AT1G53430
AT1G26750	AT1G64450	AT2G01200	AT1G31070	AT1G72770	AT1G53570
AT1G26770	AT1G64520	AT2G01210	AT1G32170	AT1G73050	AT1G53840
AT1G26880	AT1G64550	AT2G01440	AT1G32250	AT1G73120	AT1G53990
AT1G26910	AT1G64750	AT2G01660	AT1G32450	AT1G73140	AT1G54020
AT1G26930	AT1G64790	AT2G01820	AT1G32780	AT1G73160	AT1G54050
AT1G27040	AT1G64860	AT2G01930	AT1G32910	AT1G73190	AT1G54070
AT1G27050	AT1G64880	AT2G01950	AT1G33050	AT1G73220	AT1G54150
AT1G27060	AT1G64900	AT2G02455	AT1G33055	AT1G73580	AT1G54260
AT1G27330	AT1G64910	AT2G02510	AT1G33240	AT1G74410	AT1G54860
AT1G27385	AT1G65270	AT2G02790	AT1G33260	AT1G74550	AT1G55300
AT1G27390	AT1G65290	AT2G02980	AT1G33290	AT1G74929	AT1G55450
AT1G27400	AT1G65342	AT2G03350	AT1G33320	AT1G75030	AT1G55520
AT1G27410	AT1G65346	AT2G03480	AT1G33340	AT1G75260	AT1G55550
AT1G27470	AT1G65800	AT2G03680	AT1G33430	AT1G75280	AT1G55580
AT1G27690	AT1G66345	AT2G04230	AT1G33790	AT1G75700	AT1G56085
AT1G27900	AT1G66620	AT2G04280	AT1G33800	AT1G75720	AT1G56140
AT1G27970	AT1G66855	AT2G04880	AT1G34340	AT1G76210	AT1G56300
AT1G27980	AT1G67120	AT2G06210	AT1G34440	AT1G76240	AT1G56345
AT1G28210	AT1G67250	AT2G07170	AT1G34460	AT1G76590	AT1G56440
AT1G28350	AT1G67330	AT2G07680	AT1G34580	AT1G76920	AT1G56510
AT1G28360	AT1G67350	AT2G12170	AT1G34650	AT1G77290	AT1G56660
AT1G28395	AT1G67540	AT2G12462	AT1G34760	AT1G77700	AT1G57610
AT1G28510	AT1G67630	AT2G13555	AT1G35340	AT1G77950	AT1G57680
AT1G28530	AT1G67690	AT2G14050	AT1G35617	AT1G78140	AT1G57990
AT1G28560	AT1G69390	AT2G14800	AT1G35720	AT1G78200	AT1G58340
AT1G28580	AT1G70280	AT2G14890	AT1G36675	AT1G78450	AT1G59124
AT1G28610	AT1G70335	AT2G15130	AT1G36980	AT1G78476	AT1G59218
AT1G29030	AT1G70470	AT2G15400	AT1G43700	AT1G78550	AT1G59710
AT1G29090	AT1G70710	AT2G16580	AT1G44160	AT1G78790	AT1G59740
AT1G29100	AT1G70760	AT2G16600	AT1G44770	AT1G78895	AT1G59820
AT1G29150	AT1G71070	AT2G16940	AT1G44820	AT1G78960	AT1G59860
AT1G29240	AT1G71260	AT2G17050	AT1G44830	AT1G79250	AT1G59865
AT1G29250	AT1G71270	AT2G17320	AT1G45163	AT1G79480	AT1G59870
AT1G29320	AT1G71380	AT2G17770	AT1G45191	AT1G79985	AT1G59910
AT1G29418	AT1G71490	AT2G18390	AT1G45688	AT1G80160	AT1G61080
AT1G29530	AT1G72020	AT2G18650	AT1G46768	AT1G80180	AT1G61120
AT1G29730	AT1G72090	AT2G19090	AT1G47270	AT1G80240	AT1G61140
AT1G29880	AT1G72420	AT2G19170	AT1G47610	AT1G80525	AT1G61215
AT1G29940	AT1G72480	AT2G19430	AT1G48090	AT2G01540	AT1G61340
AT1G29965	AT1G72550	AT2G20300	AT1G48175	AT2G01620	AT1G61370
AT1G30240	AT1G72590	AT2G20820	AT1G48260	AT2G02310	AT1G61470
AT1G30550	AT1G72760	AT2G20860	AT1G48410	AT2G02360	AT1G61610
AT1G30660	AT1G72990	AT2G20890	AT1G48450	AT2G03250	AT1G61820
AT1G30680	AT1G73230	AT2G20930	AT1G48490	AT2G03822	AT1G61890
AT1G30760	AT1G73430	AT2G20980	AT1G48510	AT2G04137	AT1G62320
AT1G30820	AT1G73490	AT2G21260	AT1G48750	AT2G04350	AT1G63010
AT1G30870	AT1G73940	AT2G21650	AT1G48840	AT2G04550	AT1G63090
AT1G30890	AT1G74040	AT2G21870	AT1G49005	AT2G05330	AT1G63450
AT1G30960	AT1G74220	AT2G23090	AT1G49032	AT2G05380	AT1G63500
AT1G31010	AT1G74270	AT2G23290	AT1G49180	AT2G05540	AT1G63720
AT1G31180	AT1G74290	AT2G23360	AT1G49210	AT2G05590	AT1G63750
AT1G31500	AT1G74400	AT2G23530	AT1G49240	AT2G06025	AT1G63830
AT1G31660	AT1G74490	AT2G23600	AT1G49250	AT2G07000	AT1G63860
AT1G31810	AT1G74560	AT2G23950	AT1G49360	AT2G07180	AT1G64060
AT1G31817	AT1G75010	AT2G24060	AT1G49500	AT2G07689	AT1G64065
AT1G31835	AT1G75125	AT2G24230	AT1G50290	AT2G07771	AT1G64105
AT1G31860	AT1G75360	AT2G24290	AT1G50480	AT2G07830	AT1G64280
AT1G31970	AT1G76100	AT2G24630	AT1G50630	AT2G10940	AT1G64561
AT1G32090	AT1G76170	AT2G24650	AT1G50730	AT2G12646	AT1G64610
AT1G32220	AT1G76400	AT2G24700	AT1G50750	AT2G13360	AT1G65240
AT1G32380	AT1G76660	AT2G24765	AT1G50970	AT2G13570	AT1G65430
AT1G32440	AT1G76930	AT2G25000	AT1G51110	AT2G14045	AT1G65890
AT1G32580	AT1G77010	AT2G25170	AT1G51170	AT2G14260	AT1G66050
AT1G32610	AT1G77320	AT2G25280	AT1G51200	AT2G14560	AT1G66090
AT1G32730	AT1G77750	AT2G25490	AT1G51400	AT2G15320	AT1G66260
AT1G33060	AT1G78180	AT2G25610	AT1G51440	AT2G15960	AT1G66280
AT1G33120	AT1G78650	AT2G25680	AT1G51500	AT2G15970	AT1G66400
AT1G33350	AT1G78770	AT2G26270	AT1G51550	AT2G16700	AT1G66500
AT1G33390	AT1G79103	AT2G26550	AT1G51670	AT2G16980	AT1G66510
AT1G33990	AT1G79120	AT2G26640	AT1G52150	AT2G17030	AT1G66600
AT1G34030	AT1G79170	AT2G26730	AT1G52190	AT2G17300	AT1G66760
AT1G34130	AT1G79230	AT2G26760	AT1G52245	AT2G17430	AT1G66780
AT1G34160	AT1G79280	AT2G27060	AT1G52740	AT2G17690	AT1G67000
AT1G34360	AT1G79390	AT2G27130	AT1G52750	AT2G18470	AT1G67060
AT1G34380	AT1G79530	AT2G27190	AT1G52830	AT2G18670	AT1G67190
AT1G34570	AT1G79560	AT2G27340	AT1G53070	AT2G18880	AT1G67230
AT1G34750	AT1G79890	AT2G27402	AT1G53080	AT2G18970	AT1G67310
AT1G34770	AT1G79950	AT2G27970	AT1G53190	AT2G20350	AT1G67470
AT1G35170	AT1G80070	AT2G28050	AT1G53210	AT2G20362	AT1G67560
AT1G35320	AT1G80170	AT2G28105	AT1G53500	AT2G20880	AT1G67570
AT1G35515	AT1G80230	AT2G28310	AT1G53580	AT2G21060	AT1G67770
AT1G36280	AT1G80360	AT2G28605	AT1G53590	AT2G21140	AT1G67810
AT1G36310	AT1G80625	AT2G28620	AT1G53780	AT2G21540	AT1G67850
AT1G36390	AT1G80680	AT2G28950	AT1G54130	AT2G21590	AT1G67856
AT1G37130	AT1G80770	AT2G29310	AT1G54350	AT2G21820	AT1G67920
AT1G41880	AT1G80860	AT2G29330	AT1G54370	AT2G21880	AT1G67970
AT1G42440	AT1G80880	AT2G29390	AT1G54410	AT2G21910	AT1G68340
