C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
AT3G63030			AT5G25990		AT5G65600
AT3G63090			AT5G26230		AT5G65690
AT3G63150			AT5G26730		AT5G65840
AT3G63400			AT5G26740		AT5G65890
AT3G63460			AT5G26980		AT5G66070
AT3G66652			AT5G27360		AT5G66210
AT4G00026			AT5G27450		AT5G66620
AT4G00090			AT5G27730		AT5G66640
AT4G00170			AT5G27860		AT5G66675
AT4G00238			AT5G27950		AT5G66850
AT4G00250			AT5G28020		AT5G66900
AT4G00290			AT5G28310		AT5G67050
AT4G00620			AT5G28320		AT5G67080
AT4G00690			AT5G28340		AT5G67160
AT4G00930			AT5G28380		AT5G67180
AT4G00980			AT5G28390		AT5G67210
AT4G01037			AT5G28400		AT5G67245
AT4G01130			AT5G28770		AT5G67250
AT4G01370			AT5G32440		AT5G67290
AT4G01560			AT5G34850		AT5G67300
AT4G01590			AT5G35170		AT5G67350
AT4G01760			AT5G35210		AT5G67410
AT4G01790			AT5G35330		ATCG00020
AT4G01810			AT5G35927		ATCG00270
AT4G01860			AT5G36680		ATCG00280
AT4G01925			AT5G36940		ATCG00340
AT4G01930			AT5G37474		ATCG00350
AT4G01990			AT5G37790		ATCG00480
AT4G02030			AT5G37940		ATCG00490
AT4G02040			AT5G37950		ATCG00500
AT4G02220			AT5G38140		ATCG00540
AT4G02400			AT5G38270		ATCG00630
AT4G02460			AT5G38410		ATCG00680
AT4G02520			AT5G38743		ATCG00710
AT4G02720			AT5G38747		ATCG01010
AT4G02790			AT5G38910		ATCG01090
AT4G02820			AT5G38970		ATCG01130
AT4G02930			AT5G38980		ATMG00090
AT4G02990			AT5G39240		ATMG00120
AT4G03080			AT5G39410		ATMG00180
AT4G03090			AT5G39520		ATMG00370
AT4G03120			AT5G39530		ATMG00510
AT4G03180			AT5G39660		ATMG00540
AT4G03460			AT5G39860		ATMG00580
AT4G03940			AT5G40190		ATMG00960
AT4G04180			AT5G40470		ATMG01080
AT4G04210			AT5G40630		ATMG01170
AT4G04490			AT5G40910		ATMG01360
AT4G04670			AT5G41110		
AT4G04790			AT5G41260		
AT4G04940			AT5G41340		
AT4G05091			AT5G41460		
AT4G05160			AT5G41700		
AT4G05390			AT5G42000		
AT4G05400			AT5G42310		
AT4G05410			AT5G42470		
AT4G05440			AT5G42560		
AT4G05450			AT5G42690		
AT4G06599			AT5G42720		
AT4G06744			AT5G42825		
AT4G08390			AT5G42850		
AT4G08580			AT5G42870		
AT4G08690			AT5G43700		
AT4G08790			AT5G43730		
AT4G08960			AT5G43740		
AT4G09012			AT5G43780		
AT4G09140			AT5G43830		
AT4G09310			AT5G43850		
AT4G09510			AT5G43880		
AT4G09520			AT5G43930		
AT4G09730			AT5G44005		
AT4G09980			AT5G44120		
AT4G10000			AT5G44440		
AT4G10320			AT5G44680		
AT4G10450			AT5G44750		
AT4G10480			AT5G44920		
AT4G10550			AT5G44973		
AT4G10600			AT5G45650		
AT4G10620			AT5G45670		
AT4G10720			AT5G45680		
AT4G10750			AT5G45940		
AT4G10760			AT5G45950		
AT4G11060			AT5G45960		
AT4G11120			AT5G46110		
AT4G11160			AT5G46250		
AT4G11175			AT5G46360		
AT4G11440			AT5G46440		
AT4G11480			AT5G46960		
AT4G11630			AT5G47040		
AT4G11790			AT5G47370		
AT4G11990			AT5G47390		
AT4G12240			AT5G47430		
AT4G12290			AT5G47435		
AT4G12480			AT5G47610		
AT4G12500			AT5G47640		
AT4G12545			AT5G47720		
AT4G12600			AT5G47900		
AT4G12610			AT5G48110		
AT4G12750			AT5G48510		
AT4G13070			AT5G48545		
AT4G13220			AT5G48780		
AT4G13430			AT5G48900		
AT4G13460			AT5G49360		
AT4G13577			AT5G49440		
AT4G13590			AT5G49645		
AT4G13650			AT5G49650		
AT4G13750			AT5G49710		
AT4G13850			AT5G49720		
AT4G13930			AT5G49840		
AT4G13940			AT5G49870		
AT4G14000			AT5G50090		
AT4G14050			AT5G50150		
AT4G14226			AT5G50240		
AT4G14290			AT5G50335		
AT4G14350			AT5G51150		
AT4G14590			AT5G51410		
AT4G14820			AT5G51970		
AT4G14850			AT5G52170		
AT4G14910			AT5G52250		
AT4G14950			AT5G52370		
AT4G15417			AT5G52440		
AT4G15640			AT5G52900		
AT4G15660			AT5G53150		
AT4G15730			AT5G53190		
AT4G15770			AT5G53250		
AT4G15810			AT5G53300		
AT4G15820			AT5G53370		
AT4G15850			AT5G53490		
AT4G15890			AT5G53600		
AT4G16141			AT5G53710		
AT4G16210			AT5G53810		
AT4G16260			AT5G54080		
AT4G16350			AT5G54200		
AT4G16380			AT5G54540		
AT4G16390			AT5G54585		
AT4G16510			AT5G54680		
AT4G16630			AT5G54980		
AT4G16700			AT5G55135		
AT4G16720			AT5G55290		
AT4G17070			AT5G55370		
AT4G17390			AT5G55410		
AT4G17420			AT5G55960		
AT4G17430			AT5G56080		
AT4G17540			AT5G56140		
AT4G17660			AT5G56300		
AT4G17830			AT5G56550		
AT4G17950			AT5G56750		
AT4G17960			AT5G56870		
AT4G18040			AT5G57110		
AT4G18210			AT5G57140		
AT4G18290			AT5G57150		
AT4G18360			AT5G57240		
AT4G18372			AT5G57350		
AT4G18450			AT5G57360		
AT4G18460			AT5G57655		
AT4G18470			AT5G57685		
AT4G18580			AT5G57770		
AT4G18590			AT5G57780		
AT4G18593			AT5G57785		
AT4G18820			AT5G57810		
AT4G18905			AT5G57815		
AT4G18910			AT5G58000		
AT4G18990			AT5G58200		
AT4G19006			AT5G58340		
AT4G19090			AT5G58560		
AT4G19191			AT5G58740		
AT4G19210			AT5G58950		
AT4G19550			AT5G59090		
AT4G19610			AT5G59230		
AT4G19690			AT5G59370		
AT4G19700			AT5G59780		
AT4G19710			AT5G60360		
AT4G19810			AT5G60620		
AT4G20010			AT5G60680		
AT4G20020			AT5G60850		
AT4G20090			AT5G61060		
AT4G20440			AT5G61090		
AT4G20480			AT5G61200		
AT4G20740			AT5G61250		
AT4G20980			AT5G61410		
AT4G21065			AT5G61570		
AT4G21100			AT5G62100		
AT4G21140			AT5G62140		
AT4G21170			AT5G62670		
AT4G21300			AT5G63030		
AT4G21520			AT5G63200		
AT4G21705			AT5G63610		
AT4G21720			AT5G63620		
AT4G21800			AT5G63660		
AT4G21880			AT5G63720		
